trasaction_type;goal;kind;number_rooms;number_bathrooms;number_parking_places;area;has_elevator;age;latitute;logitude;rent_value;sell_value
Venda;Comercial;sala comercial;0;3;4;238;0;7;-18.894093;-48.258044;0;152369
Aluguel;Residencial;apartamento;1;1;1;191;0;3;-18.915711;-48.232167;661;0
Venda;Residencial;apartamento;3;2;3;226;0;9;-18.942277;-48.261172;0;402552
Venda;Comercial;galpão;0;2;1;162;0;1;-18.929791;-48.306576;0;451020
Venda;Comercial;galpão;0;1;3;166;1;2;-18.906464;-48.279801;0;122909
Aluguel;Comercial;galpão;0;3;3;243;0;6;-18.961559;-48.314215;1033;0
Venda;Residencial;casa;3;2;2;80;1;2;-18.900481;-48.302777;0;503856
Venda;Residencial;apartamento;1;2;2;199;1;8;-18.944418;-48.232321;0;389088
Aluguel;Comercial;loja;0;1;1;94;1;4;-18.891458;-48.320855;834;0
Venda;Comercial;loja;0;3;3;81;1;4;-18.962723;-48.324844;0;339074
Venda;Comercial;sala comercial;0;2;2;152;0;3;-18.918201;-48.311098;0;793374
Venda;Comercial;sala comercial;0;1;3;194;0;6;-18.962988;-48.298732;0;485321
Venda;Residencial;apartamento;1;3;4;104;1;6;-18.918103;-48.276155;0;173149
Aluguel;Residencial;casa de condomínio;4;2;2;225;1;4;-18.958907;-48.242909;978;0
Venda;Residencial;casa de condomínio;2;3;2;243;0;0;-18.96277;-48.325185;0;365123
Aluguel;Comercial;loja;0;2;4;143;1;4;-18.934681;-48.311188;964;0
Venda;Residencial;apartamento;3;1;2;177;0;9;-18.917115;-48.221963;0;647559
Venda;Comercial;galpão;0;2;4;81;0;1;-18.919406;-48.228473;0;126242
Venda;Comercial;sala comercial;0;3;2;194;0;10;-18.958093;-48.227803;0;778811
Venda;Residencial;casa de condomínio;2;1;3;173;0;5;-18.889186;-48.217599;0;697266
Venda;Comercial;sala comercial;0;3;4;167;1;2;-18.947307;-48.305193;0;428830
Aluguel;Residencial;casa;1;1;4;236;0;0;-18.894396;-48.321452;2733;0
Aluguel;Comercial;loja;0;2;2;188;1;5;-18.941826;-48.230497;2405;0
Aluguel;Residencial;casa de condomínio;4;1;2;147;1;6;-18.905423;-48.325068;1147;0
Venda;Comercial;galpão;0;1;4;184;1;0;-18.926146;-48.296941;0;568791
Venda;Comercial;galpão;0;3;1;195;0;4;-18.909664;-48.284428;0;507825
Venda;Residencial;casa;1;3;2;116;1;1;-18.954689;-48.329158;0;773851
Venda;Comercial;sala comercial;0;3;4;183;1;10;-18.954005;-48.262573;0;173450
Aluguel;Comercial;loja;0;2;1;180;1;1;-18.939478;-48.301826;2609;0
Venda;Residencial;casa de condomínio;1;1;4;110;1;7;-18.900391;-48.25822;0;728874
Aluguel;Residencial;casa de condomínio;2;1;2;195;0;0;-18.913468;-48.277845;2549;0
Aluguel;Comercial;galpão;0;1;1;124;0;7;-18.96185;-48.301186;2638;0
Venda;Residencial;casa;2;2;1;82;0;1;-18.918193;-48.224972;0;770469
Aluguel;Residencial;casa de condomínio;3;1;4;141;1;5;-18.925458;-48.27753;1060;0
Venda;Residencial;casa de condomínio;3;1;2;118;0;8;-18.896583;-48.243834;0;733307
Venda;Comercial;galpão;0;3;4;185;0;4;-18.903526;-48.278231;0;759662
Venda;Comercial;galpão;0;2;2;180;0;8;-18.951397;-48.30567;0;272831
Aluguel;Comercial;sala comercial;0;2;3;229;0;4;-18.966406;-48.327958;2148;0
Venda;Comercial;sala comercial;0;1;2;108;1;10;-18.952312;-48.33248;0;323298
Aluguel;Residencial;apartamento;1;1;3;97;1;1;-18.93089;-48.305707;2020;0
Venda;Comercial;galpão;0;2;4;125;1;9;-18.922633;-48.31891;0;606613
Aluguel;Comercial;sala comercial;0;3;3;231;0;2;-18.90774;-48.280159;2164;0
Venda;Residencial;apartamento;1;2;1;93;0;7;-18.900318;-48.254549;0;706490
Aluguel;Residencial;apartamento;1;1;3;81;1;10;-18.936932;-48.237649;1684;0
Aluguel;Residencial;casa;1;1;3;138;1;1;-18.884249;-48.277195;2044;0
Aluguel;Comercial;sala comercial;0;2;2;222;1;1;-18.9069;-48.332047;1510;0
Venda;Residencial;apartamento;3;1;4;157;0;6;-18.888081;-48.3204;0;202704
Venda;Comercial;galpão;0;3;1;194;1;0;-18.891521;-48.301861;0;385871
Venda;Comercial;sala comercial;0;3;1;192;1;2;-18.936201;-48.23215;0;474194
Venda;Comercial;galpão;0;3;4;97;1;1;-18.920723;-48.273374;0;355062
Aluguel;Comercial;sala comercial;0;2;2;190;0;1;-18.949976;-48.309897;2726;0
Aluguel;Comercial;loja;0;3;4;135;0;7;-18.927289;-48.296304;2806;0
Venda;Comercial;loja;0;2;2;236;0;8;-18.894834;-48.274858;0;149773
Aluguel;Comercial;loja;0;3;4;192;1;2;-18.896103;-48.315236;1974;0
Aluguel;Residencial;casa de condomínio;3;2;2;151;0;5;-18.911413;-48.257281;2209;0
Venda;Residencial;apartamento;2;2;3;110;0;3;-18.961591;-48.261358;0;505046
Venda;Comercial;sala comercial;0;1;2;99;1;9;-18.888749;-48.309906;0;552200
Aluguel;Residencial;apartamento;1;3;1;159;0;5;-18.949217;-48.228901;1091;0
Aluguel;Residencial;casa;2;1;4;87;0;4;-18.947185;-48.330204;1503;0
Aluguel;Residencial;casa;3;3;1;100;1;9;-18.92111;-48.307103;1685;0
Venda;Residencial;apartamento;1;2;3;92;0;7;-18.921784;-48.332215;0;360407
Venda;Comercial;loja;0;2;2;134;1;0;-18.9287;-48.322615;0;482372
Aluguel;Comercial;galpão;0;3;3;103;0;5;-18.928505;-48.261143;1737;0
Aluguel;Residencial;casa;1;3;1;88;1;10;-18.946727;-48.237922;1433;0
Venda;Comercial;loja;0;2;1;203;1;4;-18.889663;-48.249345;0;598011
Aluguel;Residencial;casa;2;2;3;192;1;0;-18.953383;-48.281419;2321;0
Venda;Comercial;loja;0;2;3;90;1;4;-18.954958;-48.279835;0;520814
Aluguel;Residencial;casa;2;1;4;131;1;10;-18.961515;-48.316506;2922;0
Aluguel;Comercial;sala comercial;0;2;1;213;0;5;-18.939655;-48.313946;1795;0
Aluguel;Residencial;apartamento;3;2;4;96;0;9;-18.908846;-48.271462;2062;0
Venda;Comercial;loja;0;3;4;128;1;6;-18.910038;-48.249221;0;449106
Aluguel;Comercial;galpão;0;3;2;182;1;3;-18.944856;-48.310218;1551;0
Venda;Residencial;apartamento;4;3;2;213;0;2;-18.917757;-48.255387;0;675657
Aluguel;Residencial;apartamento;3;2;4;250;1;9;-18.93142;-48.253206;2921;0
Aluguel;Residencial;casa de condomínio;2;1;2;145;0;9;-18.941463;-48.305827;1525;0
Venda;Residencial;apartamento;3;2;1;184;0;3;-18.895482;-48.303374;0;391480
Aluguel;Comercial;galpão;0;2;4;94;0;1;-18.947343;-48.24606;1828;0
Venda;Residencial;casa de condomínio;4;3;2;84;0;3;-18.900694;-48.29885;0;273230
Venda;Comercial;galpão;0;3;1;227;0;7;-18.922829;-48.302919;0;202515
Aluguel;Residencial;apartamento;4;2;3;179;0;5;-18.955614;-48.242938;1630;0
Venda;Residencial;apartamento;2;1;4;208;1;5;-18.904178;-48.256098;0;283322
Aluguel;Residencial;casa de condomínio;3;2;2;158;0;1;-18.948523;-48.2166;1267;0
Aluguel;Residencial;casa;4;2;1;116;1;10;-18.956424;-48.223452;1337;0
Venda;Comercial;sala comercial;0;1;4;117;1;0;-18.922774;-48.275495;0;659795
Aluguel;Residencial;apartamento;2;3;1;195;1;6;-18.958699;-48.328309;1028;0
Venda;Comercial;sala comercial;0;3;2;99;1;1;-18.9487;-48.223842;0;373711
Aluguel;Comercial;galpão;0;3;1;83;1;10;-18.891875;-48.276274;1807;0
Aluguel;Residencial;casa;1;3;2;143;0;8;-18.941232;-48.275282;2004;0
Venda;Comercial;galpão;0;3;3;89;1;8;-18.9482;-48.242225;0;135361
Venda;Comercial;loja;0;2;1;124;0;9;-18.905651;-48.33107;0;240643
Venda;Comercial;loja;0;3;2;247;0;3;-18.92352;-48.235042;0;410896
Venda;Comercial;loja;0;3;2;190;0;0;-18.917143;-48.221657;0;685411
Aluguel;Comercial;galpão;0;2;4;196;1;5;-18.894352;-48.26429;1863;0
Venda;Residencial;apartamento;4;3;2;232;0;2;-18.933908;-48.244868;0;306161
Aluguel;Residencial;casa;3;1;2;116;0;10;-18.963998;-48.303378;1590;0
Venda;Comercial;sala comercial;0;2;4;89;0;0;-18.924146;-48.320968;0;269692
Venda;Residencial;apartamento;1;3;3;168;1;8;-18.956766;-48.241012;0;570168
Aluguel;Comercial;loja;0;1;1;209;0;4;-18.890481;-48.236307;2306;0
Aluguel;Comercial;sala comercial;0;1;2;181;1;5;-18.903625;-48.222935;981;0
Aluguel;Residencial;casa;1;2;1;198;0;9;-18.945303;-48.266008;1272;0
Venda;Residencial;apartamento;1;1;1;183;0;7;-18.932309;-48.324249;0;765679
Aluguel;Comercial;loja;0;3;2;246;0;0;-18.90942;-48.274816;1838;0
Aluguel;Residencial;casa;3;2;2;175;1;5;-18.900033;-48.309504;2074;0
Venda;Residencial;apartamento;4;2;3;168;0;9;-18.91742;-48.282085;0;771884
Venda;Comercial;loja;0;2;1;205;0;0;-18.92748;-48.266542;0;593869
Venda;Residencial;casa de condomínio;1;2;3;131;1;3;-18.899915;-48.224262;0;577634
Aluguel;Comercial;galpão;0;1;3;201;0;10;-18.894101;-48.311988;2766;0
Aluguel;Residencial;casa de condomínio;4;2;1;148;0;9;-18.961578;-48.307729;2597;0
Venda;Residencial;apartamento;1;2;2;87;1;10;-18.921392;-48.313244;0;634644
Venda;Comercial;sala comercial;0;2;4;109;0;6;-18.963941;-48.322657;0;433640
Venda;Comercial;sala comercial;0;3;2;119;1;10;-18.904746;-48.289327;0;574702
Venda;Residencial;casa de condomínio;1;1;3;197;0;1;-18.958754;-48.329132;0;679625
Venda;Comercial;loja;0;2;3;108;0;2;-18.938752;-48.242844;0;628380
Venda;Comercial;sala comercial;0;1;4;165;1;5;-18.959975;-48.231202;0;433940
Venda;Comercial;loja;0;1;3;238;0;3;-18.944789;-48.228925;0;774134
Venda;Comercial;galpão;0;2;4;213;0;2;-18.893129;-48.281279;0;627417
Venda;Comercial;galpão;0;1;4;89;1;0;-18.952492;-48.319883;0;204945
Venda;Comercial;galpão;0;3;4;222;1;6;-18.920217;-48.27619;0;241169
Aluguel;Residencial;apartamento;3;2;1;219;0;8;-18.92258;-48.239696;1975;0
Venda;Comercial;galpão;0;1;3;216;1;9;-18.917175;-48.225761;0;582145
Venda;Comercial;galpão;0;2;2;210;0;1;-18.900817;-48.286658;0;512342
Aluguel;Comercial;galpão;0;2;1;100;0;0;-18.89484;-48.228931;2896;0
Aluguel;Comercial;loja;0;1;3;132;1;2;-18.943871;-48.288458;837;0
Aluguel;Residencial;apartamento;2;1;3;88;0;2;-18.92226;-48.220682;1519;0
Aluguel;Residencial;casa;2;1;3;106;0;4;-18.941982;-48.313788;1984;0
Venda;Residencial;casa de condomínio;1;1;2;118;1;5;-18.895404;-48.245964;0;543745
Aluguel;Comercial;sala comercial;0;1;1;126;0;8;-18.916204;-48.317721;1465;0
Venda;Residencial;casa de condomínio;4;3;4;132;1;5;-18.955371;-48.231462;0;595921
Aluguel;Comercial;loja;0;3;1;96;0;1;-18.899601;-48.28158;2660;0
Venda;Residencial;apartamento;2;3;4;162;0;0;-18.894472;-48.300803;0;159139
Venda;Residencial;casa de condomínio;2;2;4;96;1;1;-18.943697;-48.255195;0;769766
Venda;Comercial;loja;0;3;4;108;1;2;-18.910757;-48.276808;0;503137
Aluguel;Residencial;apartamento;2;2;1;106;1;9;-18.960236;-48.255965;2359;0
Aluguel;Residencial;apartamento;1;2;4;172;1;9;-18.933495;-48.218981;1488;0
Venda;Residencial;apartamento;2;2;4;125;0;10;-18.91785;-48.272523;0;261457
Aluguel;Comercial;galpão;0;1;2;199;1;7;-18.89695;-48.220614;1640;0
Aluguel;Comercial;loja;0;1;2;140;0;2;-18.944864;-48.291834;1728;0
Aluguel;Comercial;galpão;0;1;3;137;0;7;-18.964436;-48.268052;2731;0
Aluguel;Comercial;galpão;0;2;1;165;0;4;-18.924716;-48.287817;2624;0
Venda;Comercial;galpão;0;2;1;104;0;0;-18.945776;-48.24202;0;259588
Aluguel;Residencial;casa de condomínio;3;2;2;213;0;9;-18.91073;-48.312699;1727;0
Venda;Residencial;apartamento;3;1;1;82;0;10;-18.934019;-48.285578;0;328258
Aluguel;Comercial;loja;0;1;4;100;1;2;-18.951313;-48.228401;2797;0
Aluguel;Comercial;galpão;0;1;2;155;0;0;-18.891138;-48.224695;2092;0
Aluguel;Comercial;galpão;0;1;3;161;1;1;-18.897087;-48.24685;2671;0
Aluguel;Comercial;galpão;0;2;4;235;0;10;-18.959533;-48.272715;1280;0
Venda;Residencial;casa;2;3;3;211;0;10;-18.941754;-48.320528;0;752620
Venda;Comercial;galpão;0;3;1;192;0;10;-18.961343;-48.25163;0;472044
Aluguel;Residencial;casa de condomínio;2;1;1;148;0;0;-18.937988;-48.315748;1487;0
Aluguel;Comercial;loja;0;2;4;216;1;6;-18.888068;-48.252487;1951;0
Aluguel;Residencial;casa de condomínio;3;1;1;130;0;6;-18.950227;-48.253923;705;0
Venda;Residencial;casa de condomínio;2;2;4;148;1;7;-18.903938;-48.294434;0;524849
Venda;Comercial;galpão;0;3;1;130;1;2;-18.895334;-48.235691;0;769062
Venda;Residencial;casa de condomínio;2;3;4;214;0;6;-18.925271;-48.22036;0;180242
Venda;Residencial;casa;3;3;1;183;0;10;-18.930924;-48.216375;0;544982
Venda;Residencial;casa de condomínio;2;3;1;250;0;2;-18.885953;-48.24933;0;564197
Aluguel;Residencial;casa de condomínio;3;1;4;177;1;2;-18.948412;-48.271603;1961;0
Aluguel;Residencial;apartamento;1;1;1;98;0;10;-18.891037;-48.313854;2045;0
Venda;Residencial;apartamento;2;3;2;120;0;9;-18.91404;-48.305086;0;646766
Venda;Comercial;loja;0;3;1;130;1;2;-18.942813;-48.322633;0;330819
Venda;Comercial;galpão;0;1;1;148;0;10;-18.920744;-48.285896;0;222261
Aluguel;Comercial;sala comercial;0;1;4;102;1;8;-18.899423;-48.25281;1209;0
Venda;Comercial;galpão;0;3;3;176;0;5;-18.946875;-48.288965;0;582436
Aluguel;Residencial;casa de condomínio;1;3;2;186;1;5;-18.90813;-48.282526;992;0
Aluguel;Comercial;loja;0;1;3;196;1;0;-18.893822;-48.30486;1901;0
Venda;Residencial;casa;1;2;1;180;0;1;-18.886797;-48.258779;0;137205
Venda;Comercial;sala comercial;0;1;1;102;1;2;-18.901037;-48.266699;0;285525
Venda;Residencial;apartamento;4;2;2;131;1;0;-18.938858;-48.248805;0;514816
Venda;Comercial;galpão;0;3;3;118;0;7;-18.964226;-48.273034;0;455349
Aluguel;Comercial;galpão;0;2;4;205;1;4;-18.917048;-48.294044;2658;0
Venda;Comercial;loja;0;2;3;173;1;9;-18.921591;-48.249326;0;631394
Venda;Comercial;galpão;0;1;2;176;1;6;-18.891391;-48.254017;0;380697
Aluguel;Comercial;galpão;0;3;2;236;1;4;-18.922542;-48.241093;1981;0
Aluguel;Residencial;apartamento;3;1;4;128;0;1;-18.895347;-48.309735;1868;0
Venda;Residencial;casa;4;3;3;170;0;5;-18.899757;-48.22864;0;168010
Venda;Residencial;apartamento;4;2;3;117;1;5;-18.93447;-48.244683;0;313735
Venda;Residencial;apartamento;4;3;1;117;1;10;-18.916192;-48.240443;0;644098
Aluguel;Comercial;galpão;0;2;2;86;1;8;-18.923188;-48.299743;1841;0
Venda;Residencial;casa de condomínio;1;1;1;159;1;10;-18.906658;-48.283774;0;520174
Venda;Residencial;casa;3;1;2;134;1;3;-18.943982;-48.328562;0;195572
Venda;Residencial;casa;4;2;3;102;1;1;-18.919251;-48.222849;0;382484
Aluguel;Comercial;sala comercial;0;2;3;164;0;8;-18.91536;-48.2737;2376;0
Venda;Comercial;galpão;0;3;2;107;1;7;-18.933887;-48.260706;0;704936
Aluguel;Comercial;sala comercial;0;2;3;125;1;4;-18.928504;-48.32997;1659;0
Aluguel;Residencial;casa de condomínio;1;2;4;107;0;6;-18.929412;-48.234251;2350;0
Venda;Residencial;casa;4;1;1;83;1;9;-18.930862;-48.283141;0;213636
Aluguel;Comercial;sala comercial;0;1;3;150;1;7;-18.89039;-48.289088;1982;0
Aluguel;Residencial;casa;4;1;4;179;1;6;-18.902344;-48.317279;2836;0
Aluguel;Comercial;sala comercial;0;2;1;95;1;4;-18.942889;-48.266941;1036;0
Venda;Comercial;sala comercial;0;2;4;125;1;10;-18.892945;-48.326802;0;652467
Venda;Residencial;casa de condomínio;3;2;3;233;0;1;-18.88607;-48.296015;0;657479
Venda;Residencial;apartamento;3;3;1;164;1;5;-18.901328;-48.269237;0;233560
Venda;Comercial;sala comercial;0;1;4;193;1;8;-18.94258;-48.291955;0;294337
Aluguel;Residencial;apartamento;3;3;2;154;1;1;-18.918135;-48.21743;1473;0
Aluguel;Comercial;loja;0;1;3;207;1;3;-18.902181;-48.3044;2043;0
Venda;Residencial;apartamento;4;3;1;93;0;4;-18.907216;-48.248551;0;628624
Aluguel;Residencial;casa de condomínio;3;1;4;225;1;4;-18.898539;-48.293032;1175;0
Aluguel;Residencial;apartamento;2;3;2;250;0;1;-18.955817;-48.267264;1866;0
Aluguel;Comercial;loja;0;3;4;232;0;10;-18.89662;-48.260951;2395;0
Venda;Comercial;galpão;0;1;3;190;1;6;-18.916675;-48.324948;0;546617
Venda;Comercial;sala comercial;0;2;4;175;0;9;-18.92705;-48.313325;0;549373
Venda;Comercial;sala comercial;0;1;2;210;1;6;-18.926711;-48.268158;0;477948
Venda;Residencial;casa de condomínio;4;3;4;230;1;5;-18.935743;-48.228001;0;306066
Venda;Comercial;sala comercial;0;1;2;193;0;2;-18.886798;-48.254591;0;325834
Venda;Residencial;casa de condomínio;1;2;3;177;1;6;-18.944637;-48.273203;0;692259
Aluguel;Residencial;apartamento;4;2;3;197;1;8;-18.948488;-48.305712;2670;0
Aluguel;Residencial;casa de condomínio;4;1;4;107;0;5;-18.93731;-48.289168;971;0
Aluguel;Residencial;casa de condomínio;4;1;1;142;1;2;-18.949699;-48.25687;1984;0
Venda;Comercial;galpão;0;2;3;249;0;8;-18.891886;-48.303956;0;588124
Aluguel;Comercial;sala comercial;0;3;2;212;1;8;-18.935533;-48.25387;2702;0
Aluguel;Comercial;loja;0;3;1;211;0;9;-18.922209;-48.282676;2130;0
Aluguel;Residencial;casa;1;1;4;103;1;0;-18.924553;-48.225015;1635;0
Aluguel;Residencial;casa;3;1;3;148;1;4;-18.956702;-48.283494;2738;0
Aluguel;Comercial;sala comercial;0;3;2;213;0;5;-18.945621;-48.316258;2884;0
Venda;Comercial;sala comercial;0;3;4;214;1;4;-18.918203;-48.268222;0;497323
Venda;Residencial;apartamento;1;1;2;177;0;7;-18.931641;-48.32229;0;188237
Aluguel;Comercial;sala comercial;0;2;1;140;0;7;-18.889197;-48.248337;1261;0
Venda;Comercial;loja;0;1;2;236;1;7;-18.905005;-48.235685;0;614191
Venda;Comercial;loja;0;1;2;98;0;3;-18.946769;-48.297047;0;630554
Venda;Residencial;casa de condomínio;4;2;4;175;0;5;-18.913129;-48.273323;0;576171
Aluguel;Comercial;sala comercial;0;1;2;220;0;0;-18.8928;-48.308695;2954;0
Aluguel;Residencial;casa;4;2;4;248;0;8;-18.915835;-48.303437;1186;0
Aluguel;Comercial;sala comercial;0;1;1;239;1;3;-18.885717;-48.241119;2025;0
Aluguel;Residencial;apartamento;2;1;2;231;0;1;-18.94843;-48.230965;1340;0
Venda;Comercial;galpão;0;2;1;238;0;7;-18.9312;-48.22742;0;354000
Venda;Comercial;sala comercial;0;1;2;96;0;6;-18.951641;-48.273517;0;685749
Aluguel;Residencial;casa de condomínio;2;1;3;227;1;0;-18.961218;-48.220433;980;0
Aluguel;Residencial;apartamento;3;2;4;98;1;0;-18.925681;-48.330546;1940;0
Aluguel;Residencial;casa;4;2;3;205;0;10;-18.887628;-48.310459;2737;0
Venda;Comercial;galpão;0;2;4;171;1;6;-18.941735;-48.241069;0;408367
Aluguel;Residencial;casa de condomínio;4;3;3;179;1;4;-18.898555;-48.249807;1456;0
Aluguel;Comercial;sala comercial;0;3;4;113;1;2;-18.889104;-48.257652;2246;0
Aluguel;Comercial;sala comercial;0;1;3;217;0;1;-18.964313;-48.326106;2939;0
Aluguel;Comercial;sala comercial;0;1;4;80;0;8;-18.916554;-48.225372;1356;0
Venda;Comercial;loja;0;2;4;115;0;0;-18.948454;-48.237327;0;756720
Aluguel;Comercial;loja;0;2;4;246;1;8;-18.905945;-48.219419;2080;0
Aluguel;Residencial;apartamento;3;3;1;210;1;2;-18.945352;-48.275427;2695;0
Aluguel;Residencial;apartamento;2;1;4;120;1;0;-18.953913;-48.248551;1985;0
Venda;Comercial;loja;0;2;3;197;1;6;-18.917251;-48.28662;0;268165
Aluguel;Residencial;casa;1;3;1;161;1;1;-18.913602;-48.225937;974;0
Aluguel;Comercial;sala comercial;0;1;3;125;1;5;-18.930413;-48.323125;1787;0
Venda;Residencial;casa;4;1;2;91;1;2;-18.917453;-48.235511;0;525458
Aluguel;Comercial;loja;0;2;3;226;0;3;-18.910189;-48.295053;2634;0
Venda;Comercial;galpão;0;2;4;112;0;2;-18.9285;-48.227734;0;581518
Aluguel;Comercial;galpão;0;2;1;214;0;7;-18.886392;-48.243645;2474;0
Aluguel;Residencial;casa;4;3;2;249;0;7;-18.949694;-48.248125;1016;0
Venda;Comercial;galpão;0;3;3;152;1;5;-18.884787;-48.273146;0;707626
Aluguel;Comercial;galpão;0;2;4;206;1;10;-18.93704;-48.23132;2751;0
Aluguel;Comercial;loja;0;2;4;234;0;4;-18.960679;-48.326293;2987;0
Aluguel;Comercial;loja;0;1;2;178;0;5;-18.921151;-48.229702;2128;0
Venda;Residencial;casa de condomínio;4;2;2;92;0;10;-18.933891;-48.326879;0;233648
Venda;Residencial;apartamento;1;2;1;226;0;10;-18.920237;-48.237612;0;159158
Aluguel;Comercial;sala comercial;0;2;2;208;1;6;-18.924451;-48.31632;1471;0
Venda;Comercial;galpão;0;3;4;218;0;5;-18.892675;-48.275006;0;591409
Venda;Comercial;sala comercial;0;1;2;213;0;2;-18.889994;-48.270918;0;470650
Venda;Residencial;casa de condomínio;2;3;4;89;1;10;-18.936482;-48.325382;0;293302
Venda;Comercial;sala comercial;0;1;2;250;0;9;-18.952015;-48.233554;0;386037
Venda;Comercial;loja;0;3;4;238;1;7;-18.919812;-48.261172;0;521483
Aluguel;Residencial;casa de condomínio;3;2;1;218;1;6;-18.934922;-48.29216;1512;0
Aluguel;Comercial;galpão;0;1;2;165;1;10;-18.916765;-48.301392;1739;0
Venda;Comercial;sala comercial;0;2;2;200;0;3;-18.932296;-48.279355;0;491762
Venda;Comercial;sala comercial;0;1;4;159;0;8;-18.890681;-48.318964;0;499689
Venda;Residencial;casa de condomínio;3;3;3;91;1;3;-18.925079;-48.236417;0;687727
Aluguel;Comercial;sala comercial;0;2;2;223;1;8;-18.902892;-48.293477;2667;0
Venda;Residencial;apartamento;1;3;4;83;0;7;-18.91661;-48.29219;0;168045
Aluguel;Comercial;galpão;0;1;4;153;0;10;-18.892938;-48.324118;2937;0
Aluguel;Comercial;galpão;0;2;4;137;0;6;-18.941407;-48.329628;951;0
Aluguel;Residencial;casa de condomínio;4;2;4;200;1;2;-18.932344;-48.324338;1697;0
Aluguel;Residencial;casa de condomínio;4;1;4;198;0;3;-18.909847;-48.248963;2069;0
Aluguel;Comercial;galpão;0;2;2;176;1;0;-18.928772;-48.272605;1367;0
Venda;Comercial;galpão;0;2;3;179;1;10;-18.920277;-48.266567;0;392144
Venda;Comercial;sala comercial;0;1;4;206;1;4;-18.906899;-48.243988;0;633412
Venda;Comercial;loja;0;3;2;196;1;6;-18.961878;-48.239925;0;319176
Venda;Comercial;loja;0;2;4;225;1;8;-18.908953;-48.304016;0;401773
Aluguel;Residencial;apartamento;4;2;2;225;1;5;-18.942695;-48.227752;1336;0
Aluguel;Comercial;galpão;0;2;4;162;0;2;-18.911721;-48.300672;2120;0
Aluguel;Comercial;sala comercial;0;3;4;114;0;7;-18.90138;-48.298636;850;0
Aluguel;Comercial;sala comercial;0;1;1;103;1;6;-18.933989;-48.294584;2184;0
Venda;Residencial;casa;3;1;1;248;1;9;-18.936335;-48.238555;0;596505
Venda;Comercial;galpão;0;3;3;119;0;5;-18.939851;-48.262027;0;177855
Aluguel;Comercial;galpão;0;3;4;213;0;9;-18.954582;-48.300522;1245;0
Aluguel;Comercial;loja;0;2;3;188;0;0;-18.929981;-48.274644;2927;0
Venda;Residencial;casa;2;1;1;136;1;7;-18.887466;-48.306325;0;124083
Venda;Comercial;sala comercial;0;1;3;247;1;3;-18.936757;-48.234137;0;234120
Aluguel;Residencial;casa de condomínio;4;3;1;162;0;8;-18.945691;-48.217068;2311;0
Aluguel;Residencial;casa de condomínio;4;2;1;108;1;10;-18.939656;-48.230566;2171;0
Venda;Residencial;casa;2;1;2;145;0;3;-18.899668;-48.224185;0;269401
Aluguel;Residencial;casa de condomínio;1;2;2;233;1;5;-18.966768;-48.329009;2197;0
Venda;Residencial;apartamento;1;1;2;151;1;3;-18.924484;-48.246951;0;236270
Aluguel;Comercial;sala comercial;0;2;4;138;1;8;-18.965193;-48.326295;1741;0
Aluguel;Comercial;sala comercial;0;3;3;230;1;10;-18.904371;-48.329046;1355;0
Venda;Comercial;galpão;0;2;4;100;0;9;-18.966349;-48.324973;0;372615
Venda;Comercial;loja;0;3;3;144;0;10;-18.95909;-48.292624;0;302138
Aluguel;Comercial;galpão;0;2;3;146;0;1;-18.888536;-48.321364;1159;0
Venda;Comercial;galpão;0;1;2;168;1;9;-18.935579;-48.270185;0;789683
Aluguel;Comercial;sala comercial;0;1;4;137;1;10;-18.903009;-48.294188;2477;0
Venda;Comercial;sala comercial;0;1;2;198;0;2;-18.947643;-48.279195;0;150306
Aluguel;Comercial;sala comercial;0;2;4;96;1;0;-18.93164;-48.326182;1239;0
Aluguel;Residencial;casa de condomínio;2;1;3;204;0;7;-18.933003;-48.222046;2379;0
Venda;Comercial;sala comercial;0;1;2;119;1;0;-18.903841;-48.248661;0;635695
Venda;Comercial;galpão;0;2;1;193;0;8;-18.921793;-48.216272;0;697451
Venda;Residencial;casa de condomínio;2;2;2;155;0;2;-18.963481;-48.262518;0;772066
Aluguel;Comercial;loja;0;3;2;217;1;0;-18.962697;-48.324674;2346;0
Venda;Comercial;loja;0;3;3;191;0;3;-18.923817;-48.300456;0;317475
Aluguel;Comercial;loja;0;1;1;85;0;3;-18.89832;-48.258663;2271;0
Venda;Residencial;casa de condomínio;3;2;2;146;1;10;-18.955641;-48.277906;0;404831
Venda;Comercial;loja;0;2;2;107;1;6;-18.960211;-48.290343;0;559669
Aluguel;Residencial;casa de condomínio;1;3;3;119;0;0;-18.944866;-48.260919;2776;0
Venda;Residencial;apartamento;1;2;2;116;0;7;-18.897115;-48.278345;0;266492
Venda;Residencial;casa de condomínio;1;2;1;221;0;5;-18.941478;-48.235718;0;221785
Aluguel;Residencial;apartamento;4;3;4;83;1;9;-18.909218;-48.281551;2296;0
Venda;Comercial;galpão;0;1;3;244;1;4;-18.957969;-48.23545;0;723980
Aluguel;Comercial;loja;0;1;1;215;0;7;-18.939355;-48.313669;1829;0
Venda;Residencial;casa;3;1;1;117;0;3;-18.886366;-48.257583;0;513533
Aluguel;Residencial;casa;4;3;2;183;0;1;-18.954256;-48.28058;1334;0
Aluguel;Residencial;casa;1;1;2;115;1;5;-18.894848;-48.243648;1704;0
Aluguel;Residencial;casa de condomínio;3;2;3;80;0;9;-18.965425;-48.302477;2751;0
